id,num_images,url,source_platform,modality,license,region_origin,year,notes
memosa-dataset-2026,30039,https://www.nature.com/articles/s41597-026-06998-7,MeMoSA Workbench,intraoral_photo,unspecified (per-workbench access),5 countries (multi-country),2026,LARGEST soft-tissue photo dataset found. Mobile device cameras. Biopsy verification where applicable. Workbench-gated access
memosa-multi-country-oral,30039,https://www.memosa.org/,consortium,intraoral_photo,credentialed_access,multi-country (5),2024,Largest smartphone intraoral mucosa archive; 5-country collection.
oii-ds-benchmark-wang-2023,19074,https://doi.org/10.1016/j.compbiomed.2023.107620,ScienceDirect / Comput Biol Med,intraoral_photo,restricted_academic,China,2023,Subset-A 3834 CT imgs BLACKLISTED. Subset-B 15240 intraoral implant photos = restorative scope. usable_subset:Subset-B. Needs author request + in-situ-vs-ex-vivo verification.
zenodo-14571990,9201,https://zenodo.org/records/14571990,Zenodo,intraoral_photo,CC BY 4.0 (non-commercial access per request),Egypt (Cairo University),2024,Mobile + DSLR; 4405 normal / 2314 low-risk / 2482 high-risk; labelled by oral medicine specialists
bdj-cairo-9201,9201,https://www.nature.com/articles/s41415-025-9007-6,British Dental Journal supplementary,intraoral_photo,unspecified article supplementary,Egypt,2025,Oral Medicine Clinic Faculty of Dentistry Cairo University; 4405 normal 2314 low 2482 high; labeled by 2 oral medicine specialists; image dims up to 24M pixels
sunyatsen-zengcheng-pediatric-7671-2026,7671,https://pmc.ncbi.nlm.nih.gov/articles/PMC12905764/,Journal of Dentistry (restricted),intraoral_photo,restricted,China (Sun Yat-sen Hospital of Stomatology + Guangzhou CDC),2026,3913 occlusal + 3758 smooth from 524 kids; custom retractor/mirror/LED device; questionnaires linked.
peerj-20140-bengbu-occlusion-7200,7200,https://peerj.com/articles/20140/,PeerJ,intraoral_photo,CC-BY 4.0 paper; dataset NOT released,China (Bengbu),2025,"5000@45° + 2200@90°, 1920x1280. Dataset institutional, code only."
bengbu-7200-occlusion-classification-2025,7200,https://pmc.ncbi.nlm.nih.gov/articles/PMC12478310/,PMC (restricted),intraoral_photo,restricted,China (First Affiliated Hospital Bengbu Medical U.),2025,7200 photos / 6100 patients Jun22-Jun23; only code released.
mdpi-dentistry-malocclusion-5854,5854,https://www.mdpi.com/2304-6767/14/1/60,MDPI Dentistry Journal,intraoral_photo,article CC BY,China,2026,5 standard views labeled with 17 IOTN classes; YOLOv11 benchmark; origin to confirm China authorship noted
charite-berlin-5266-angle-lateral-2025,5266,https://pmc.ncbi.nlm.nih.gov/articles/PMC12861064/,BMC Oral Health (restricted),intraoral_photo,restricted,Germany (Charité Berlin),2025,Largest single-view lateral intraoral orthodontic corpus identified.
segmentanytooth-hcmc,5000,https://github.com/thangngoc89/SegmentAnyTooth,GitHub/PMC,intraoral_photo,research_only_on_request,Vietnam,2024,1000 subjects x 5 standard views (953 subjects usable). Weights/data on request.
nanchang-university-kouqiang-3869-perio-screening-2025-lead,3869,http://manu45.magtech.com.cn/Jwk_kqyxyj/CN/abstract/abstract2506.shtml,Kouqiang Yixue Yanjiu,intraoral_photo,unknown,China,2025,578 subjects. OUTREACH lead iter-5.
bspc-s1746809425008481-3246-40class-2025,3246,https://www.sciencedirect.com/science/article/pii/S1746809425008481,ScienceDirect BSPC,intraoral_photo,publisher_copyright,unspecified,2025,iter-3 resolution; 1013 patients; BSPC July 2025; gated
mih-cnn-springer-2022-3241,3241,https://link.springer.com/article/10.1007/s00784-022-04552-4,Clinical Oral Investigations (Springer),intraoral_photo,unknown_paper_only,Germany,2022,3241 intraoral photos (train 2596 / test 649). Contact authors iter 2.
bmc-hibogi-cimahi-indonesia-3221-2025,3221,https://doi.org/10.1186/s12903-025-07486-x,BMC Oral Health,intraoral_photo,not_specified,Indonesia,2025,Cimahi; 5 schools + 3 community health centers; 3221 JPG; train 2266/val 635/test 320. First SEA primary-school caries dataset.
bmc-shahid-beheshti-3215,3215,https://bmcoralhealth.biomedcentral.com/articles/10.1186/s12903-025-05803-y,BMC Oral Health author-hosted on request,intraoral_photo,article CC BY,Iran,2025,Orthodontics Dept Dental School Shahid Beheshti University of Medical Sciences Tehran; professional camera post-cleaning; 5 senior dental students under supervision
jocpd-2026-011-pediatric-5view,3100,https://www.jocpd.com/articles/10.22514/jocpd.2026.011,JOCPD (restricted),intraoral_photo,unknown,China,2026,620 pediatric patients × 5 views = 3100 photos with explicit view-type labels; Inception-ResNet-v2 + Faster R-CNN benchmark; dataset itself author-request only
